outlet_no,business_type,city,state,zip,store_location,avg_age,blue_collar,white_collar,female,male,total_household_size ,total_household_income,actual_credit_score,latitude,longitude,employee_size,total_sales
588,1,POULSBO,WA,98370,THIRD PARTY (NON-CONSUMER),44.2,26.25,31.08,59.43,40.57,2.08,49690000,93,47.73876,-122.65962,100,6593
591,1,DAYTON,OH,45459,THIRD PARTY (NON-CONSUMER),55.62,17.04,54.69,57.36,42.64,2.04,89083000,79,39.650872,-84.161322,15,1073
595,1,CANANDAIGUA,NY,14424,AT-WORK,41.67,37.84,36.5,51.18,48.82,2.3,71073000,92,42.876616,-77.285513,65,3997
601,1,SHREVEPORT,LA,71103,AT-WORK,36.57,58.38,28.28,52.81,47.19,2.73,28109000,100,32.481154,-93.757656,250,35144
603,1,HARLINGEN,TX,78550,THIRD PARTY (NON-CONSUMER),33.95,45.19,35.68,52.73,47.27,3.24,34371000,99,26.189913,-97.685524,29,5297
636,1,ORLANDO,FL,32806,AT-WORK,39.49,18.82,53.95,53.6,46.4,2.1,177903000,98,28.525651,-81.376162,40,4635
641,1,DAYTON,OH,45449,AT-WORK,32.56,49.86,31.91,53.18,46.82,1.96,41681000,91,39.65021,-84.241687,100,5636
648,1,VERNON HILLS,IL,60061,THIRD PARTY (NON-CONSUMER),41.96,22.44,42.99,54.73,45.27,1.92,91994000,95,42.24277,-87.946305,4,530
656,1,PHOENIX,AZ,85006,OTHER SHOPPING & SERVICES,36.76,37.48,30.23,48.49,51.51,2.04,65976000,91,33.465684,-112.062231,20,3227
660,1,PITTSBURGH,PA,15213,EATING & DRINKING,31.52,51.41,28.83,46.01,53.99,1.7,37306000,78,40.454352,-79.94443,6,1103
665,1,SYRACUSE,NY,13205,AT-WORK,30.06,64.84,34.66,51.24,48.76,3.54,17917000,85,43.032653,-76.147332,150,9517
668,1,DESTIN,FL,32550,THIRD PARTY (NON-CONSUMER),43.76,13.75,79.81,53.13,46.88,2.21,108323000,96,30.37861,-86.306738,500,85770
673,1,ONEONTA,NY,13820,THIRD PARTY (NON-CONSUMER),36.14,40.49,31.82,53.05,46.95,2.2,55463000,86,42.45288,-75.085454,90,5710
674,1,DAYTON,OH,45459,AT-WORK,53.14,19.94,51.81,55.94,44.06,2.18,92199000,96,39.637824,-84.185856,107,4800
677,1,MEADVILLE,PA,16335,THIRD PARTY (NON-CONSUMER),38.9,57.89,36.34,53.3,46.7,1.9,39351000,97,41.637064,-80.145483,35,2079
679,1,SHEPHERD,MI,48883,THIRD PARTY (NON-CONSUMER),37.08,52.8,29.6,50.08,49.92,2.79,69413000,80,43.523854,-84.814697,9,1278
692,1,RAPID CITY,SD,57702,TRAVEL/TRANSPORTATION/HOSPITALITY,52.83,28.42,22.22,55.41,44.59,1.9,61688000,89,44.04861,-103.263548,26,1391
703,1,ASHEVILLE,NC,28801,OTHER SHOPPING & SERVICES,44.55,28.58,39.5,56.4,43.6,1.86,68329000,88,35.57779,-82.548227,3,501
705,4,MCALLEN,TX,78501,AT-WORK,30.16,31.63,51.31,50.84,49.16,3.02,40639000,92,26.2331,-98.240791,3,548
722,1,SAN ANTONIO,TX,78229,AT-WORK,31.54,26.47,42.81,52.77,47.23,1.57,40488000,100,29.513957,-98.590658,25,4566
724,1,BROOKLYN,NY,11235,EATING & DRINKING,39.78,47.75,37.93,57.2,42.8,2.04,65489000,85,40.581986,-73.96,20,2869
726,1,PITTSBURGH,PA,15213,THIRD PARTY (NON-CONSUMER),23.97,38.41,34.6,54.73,45.27,2.3,27999000,81,40.440272,-79.957444,3,526
735,1,SILVER SPRING,MD,20904,AT-WORK,41.52,40.05,29.62,51.06,48.94,3.09,126362000,97,39.046978,-76.992349,60,4075
738,1,PLANO,TX,75074,AT-WORK,31.21,51.09,36.43,47.86,52.14,2.87,56509000,73,32.529115,-92.6396,5,684
740,1,OKLAHOMA CITY,OK,73104,AT-WORK,26.55,43.24,32.95,60.77,39.23,1.59,51553000,93,35.46001,-97.518327,3,513
745,1,WINTERS,TX,79567,AT-WORK,39.84,66.2,27.87,50.17,49.83,2.44,45970000,88,31.959146,-99.959037,40,1280
746,1,SHREVEPORT,LA,71103,AT-WORK,34.62,52.34,33.18,54.52,45.48,2.67,29574000,94,32.484235,-93.77734,3,519
750,1,DAYTON,OH,45459,OTHER SHOPPING & SERVICES,40.95,34.29,46.5,53.49,46.51,2.04,63914000,87,39.642406,-84.16245,17,958
763,1,JAMAICA,NY,11432,AT-WORK,50.45,35.66,46.02,58.98,41.02,3.55,69479000,98,40.71447,-73.80188,325,8416
768,1,SHREVEPORT,LA,71103,AT-WORK,34.62,52.34,33.18,54.52,45.48,2.67,29574000,94,32.484165,-93.778042,3,519
773,1,SAN ANTONIO,TX,78229,AT-WORK,45.98,22.41,45.44,46.41,53.59,1.56,45403000,85,29.50319,-98.580798,3,548
776,4,HOUSTON,TX,77008,AT-WORK,40.33,31.89,46.76,51.12,48.88,1.99,105558000,91,29.794202,-95.449932,7,1278
784,4,MCALLEN,TX,78501,AT-WORK,39.61,22.2,68.05,53.15,46.85,2.99,69613000,91,26.23712,-98.205055,3,548
785,1,HARLINGEN,TX,78550,AT-WORK,47.16,45.1,33.23,56.05,43.95,2.14,46371000,88,26.172329,-97.669778,95,3200
788,1,POWAY,CA,92064,AT-WORK,48.58,16.39,47.92,54.36,45.64,2.38,96202000,88,32.997136,-117.055791,800,146302
791,1,LEXINGTON,KY,40502,EATING & DRINKING,43.81,10.07,50.19,51.58,48.42,1.69,92676000,81,38.03901,-84.489671,3,528
795,1,HUNTSVILLE,TN,37756,THIRD PARTY (NON-CONSUMER),39.76,66.2,21.86,51.46,48.54,2.51,33097000,83,36.33727,-84.38602,4,749
802,1,DRAPER,UT,84020,THIRD PARTY (NON-CONSUMER),29.62,21.51,52.47,47.5,52.5,2.64,61892000,95,40.528763,-111.869173,3,541
808,1,MARIETTA,OH,45750,THIRD PARTY (NON-CONSUMER),44.98,33.24,44.59,54.56,45.44,1.98,44185000,93,39.42274,-81.451612,3,499
811,4,SHREVEPORT,LA,71103,AT-WORK,31.86,69.87,67.44,54.76,45.24,2.77,20395000,95,32.47614,-93.780096,3,519
812,1,UPLAND,CA,91786,EATING & DRINKING,33.72,17.34,68.05,53.2,46.8,2.68,61183000,87,34.103117,-117.670616,4,644
813,1,CENTERVILLE,OH,45459,THIRD PARTY (NON-CONSUMER),37.47,35.99,43.78,51.07,48.93,2.16,54608000,93,39.625581,-84.159515,8,1331
815,1,FORT MYERS,FL,33908,EATING & DRINKING,77.34,0,100,63.55,36.45,1.47,72429000,92,26.506598,-81.989857,60,4294
826,1,NEW ALBANY,OH,43054,THIRD PARTY (NON-CONSUMER),30.31,21.1,54.43,52.43,47.57,2.66,131217000,70,40.089343,-82.825486,5,657
829,4,BETHLEHEM,PA,18017,AT-WORK,42.37,15.81,52.49,52.73,47.27,2.53,107371000,81,40.668737,-75.380163,8,1471
833,4,BETHLEHEM,PA,18017,AT-WORK,62.34,31.17,44.72,61.98,38.02,1.33,29932000,94,40.646795,-75.407489,3,526
834,4,BETHLEHEM,PA,18017,THIRD PARTY (NON-CONSUMER),42.37,15.81,52.49,52.73,47.27,2.53,107371000,81,40.6642,-75.390813,12,713
835,4,BETHLEHEM,PA,18017,AT-WORK,42.37,15.81,52.49,52.73,47.27,2.53,107371000,97,40.671868,-75.38151,20,1622
838,1,BETHLEHEM,PA,18017,THIRD PARTY (NON-CONSUMER),62.34,31.17,44.72,61.98,38.02,1.33,29932000,86,40.644637,-75.407893,10,867
839,4,BETHLEHEM,PA,18017,THIRD PARTY (NON-CONSUMER),42.37,15.81,52.49,52.73,47.27,2.53,107371000,77,40.669209,-75.383126,15,1301
250,4,BOWLING GREEN,KY,42101,AT-WORK,44.08,42.43,25.14,54.19,45.81,1.85,30645000,85,36.99546,-86.431619,3,528
256,4,RAPID CITY,SD,57702,AT-WORK,35.97,45.9,39.39,52.92,47.08,2.39,47405000,96,44.086242,-103.273436,12,962
260,1,BOWLING GREEN,KY,42101,AT-WORK,32.95,49.14,32.48,50.41,49.59,2.48,42324000,97,36.98606,-86.430859,16,2016
261,1,VACAVILLE,CA,95687,AT-WORK,38.36,41.31,26.48,54,46,2.54,92764000,86,38.355835,-121.952153,500,91438
264,4,BOWLING GREEN,KY,42101,THIRD PARTY (NON-CONSUMER),32.95,49.14,32.48,50.41,49.59,2.48,42324000,88,36.957389,-86.485343,28,3900
266,1,GLASGOW,KY,42141,AT-WORK,42.89,38.49,44,52.41,47.59,2.24,47119000,78,37.010838,-85.903418,3,528
268,1,GLASGOW,KY,42141,AT-WORK,34.46,54.2,32.11,54.31,45.69,2.48,35042000,88,36.994665,-85.93266,100,6159
273,4,GLASGOW,KY,42141,AT-WORK,33.37,74.58,33.05,50.49,49.51,2.5,30723000,96,36.991137,-85.931773,38,6698
274,1,BOWLING GREEN,KY,42101,EDUCATIONAL,19.67,51.94,29.03,55.66,44.34,2.39,28669000,91,36.989026,-86.452669,3,528
280,1,CITRUS HEIGHTS,CA,95610,AT-WORK,28.8,34.73,53.74,52.22,47.78,2.02,40425000,73,38.664658,-121.262312,7,1246
282,1,SAN ANTONIO,TX,78238,THIRD PARTY (NON-CONSUMER),37.17,35.26,49.01,52.49,47.51,2.19,51805000,94,29.48031,-98.627453,27,1670
284,1,GREENVILLE,PA,16125,THIRD PARTY (NON-CONSUMER),55.58,63.6,21.32,57.48,42.52,2.03,50156000,96,41.426917,-80.392343,345,7680
296,1,MOUNT PLEASANT,MI,48858,AT-WORK,41.32,55.41,36.8,50.72,49.28,2.2,50803000,96,43.612628,-84.728258,8,1028
302,1,MOBILE,AL,36607,AT-WORK,37.57,43.48,37.08,53.51,46.49,2.15,64958000,100,30.691434,-88.085448,45,7999
303,1,FAYETTEVILLE,NC,28304,AT-WORK,41.96,41.29,39.68,53.17,46.83,2.26,40862000,81,35.033158,-78.935705,11,1491
304,1,JEFFERSON CITY,MO,65101,AT-WORK,34.35,47.17,22.76,51.24,48.76,2.11,39691000,98,38.556857,-92.192012,25,2329
308,1,SAN LUIS OBISPO,CA,93401,AT-WORK,44.28,33.88,47.1,52.09,47.91,1.89,59918000,97,35.250723,-120.670535,150,35425
309,1,DU BOIS,PA,15801,AT-WORK,50.36,61.27,29.97,53.84,46.16,2.29,52814000,88,41.127996,-78.78464,300,22639
315,1,OKLAHOMA CITY,OK,73149,AT-WORK,33.61,62.5,27.78,49.68,50.32,2.72,30464000,96,35.394637,-97.49396,15,2085
317,1,PLANO,TX,75074,AT-WORK,31.21,51.09,36.43,47.86,52.14,2.87,56509000,94,33.008194,-96.704035,15,2224
334,1,DRAPER,UT,84020,AT-WORK,37.78,0,0,12.84,87.16,0,110149000,91,40.490557,-111.901344,3,541
339,1,JEFFERSON CITY,MO,65101,OTHER SHOPPING & SERVICES,38.15,23.09,42.72,49.78,50.22,2.56,73257000,95,38.553694,-92.150762,3,509
341,1,WEST VALLEY CITY,UT,84120,ENTERTAINMENT/RECREATION/LEISURE,28.59,67.24,25.41,48.94,51.06,3.9,44573000,91,40.69727,-111.99034,3,541
346,1,WEST VALLEY CITY,UT,84120,AT-WORK,32.44,39.39,39.59,49.56,50.44,3.48,67422000,97,40.680907,-111.979213,33,3266
357,1,FORT MYERS,FL,33908,AT-WORK,47.08,31.16,36.47,51.91,48.09,1.91,98158000,93,26.521822,-81.877139,25,2896
370,1,ARLINGTON,TX,76018,AT-WORK,31.33,36.58,44.98,51.59,48.41,3.12,72563000,96,32.679184,-97.098826,35,6393
373,1,BUFFALO,WY,82834,AT-WORK,41.69,40.53,35.19,50.1,49.9,2.27,76783000,86,44.349594,-106.705091,175,10087
379,1,LAREDO,TX,78041,AT-WORK,38.54,22.97,54.5,51.46,48.54,3.11,125861000,94,27.56835,-99.473569,3,548
391,1,JACKSON,MS,39204,AT-WORK,25.84,57.2,27.13,57.23,42.77,3.01,33509000,94,32.283939,-90.227633,8,1439
392,1,JEFFERSON CITY,MO,65101,AT-WORK,34.35,47.17,22.76,51.24,48.76,2.11,39691000,100,38.56133,-92.187946,75,12744
394,1,MOUNT PLEASANT,MI,48858,AT-WORK,23.45,42.33,40.51,55.37,44.63,2.46,16054000,92,43.580648,-84.767437,35,6595
399,1,SAN ANTONIO,TX,78201,AT-WORK,42.59,34.21,30.3,56.32,43.68,2.1,47047000,86,29.46732,-98.529158,125,9821
408,1,WINTERS,TX,79567,AT-WORK,47.01,42.51,28.13,47.21,52.79,2.24,55682000,88,31.97352,-100.069121,65,9639
420,1,LOS ANGELES,CA,90024,THIRD PARTY (NON-CONSUMER),31.21,9.06,41,53,47,1.62,90491000,93,34.063449,-118.447355,3,675
422,1,ROBINSON,IL,62454,AT-WORK,38.01,46.41,35.38,20.98,79.02,2.44,54637000,94,39.008121,-87.684704,12,1261
426,1,OKLAHOMA CITY,OK,73104,THIRD PARTY (NON-CONSUMER),26.55,43.24,32.95,60.77,39.23,1.59,51553000,91,35.48027,-97.499847,3,513
428,1,CHARLOTTE,NC,28269,THIRD PARTY (NON-CONSUMER),36.04,18.38,57.92,51.06,48.94,2.74,83064000,96,35.36367,-80.786028,35,1979
430,1,WEST LAFAYETTE,IN,47906,THIRD PARTY (NON-CONSUMER),46.94,13.4,40.2,53.13,46.88,2.44,131522000,88,40.459471,-86.894325,75,10708
434,1,GARY,IN,46408,THIRD PARTY (NON-CONSUMER),35.32,50.63,31.65,53.66,46.34,3.05,39679000,81,41.5384,-87.338345,15,1304
438,1,COOPERSTOWN,NY,13326,THIRD PARTY (NON-CONSUMER),52.42,37.28,48.61,61.14,38.86,1.93,51672000,88,42.695987,-74.923303,7,1031
446,1,LIVONIA,MI,48152,EATING & DRINKING,51.74,22.69,37.51,55.87,44.13,1.87,75426000,83,42.411072,-83.42857,30,1884
447,1,ROCHESTER,NY,14612,EATING & DRINKING,53.58,23.6,25.8,53.49,46.51,1.92,56661000,88,43.262121,-77.614768,330,20937
452,1,MANKATO,MN,56001,AT-WORK,42.42,45.67,36.1,53.83,46.17,2.16,36753000,91,44.186702,-94.009782,110,8968
459,1,SAN ANTONIO,TX,78229,THIRD PARTY (NON-CONSUMER),36.7,16.51,45.24,49.39,50.61,1.79,51298000,67,29.499612,-98.57666,11,1631
467,1,GREAT BEND,KS,67530,THIRD PARTY (NON-CONSUMER),40.32,40.44,40.68,54.52,45.48,2.14,42215000,93,38.363757,-98.810796,20,1074
468,1,DAVISON,MI,48423,THIRD PARTY (NON-CONSUMER),37.99,39.34,32.51,53.44,46.56,2.42,56097000,96,43.025297,-83.50931,15,913
470,1,BOWLING GREEN,KY,42101,AT-WORK,33.71,29.9,34.15,49.01,50.99,2.03,37141000,91,36.988626,-86.438288,7,1233
476,1,UPLAND,CA,91786,THIRD PARTY (NON-CONSUMER),36.43,71.6,28.4,55.97,44.03,2.74,52906000,95,34.097391,-117.65549,40,1280
481,1,SMYRNA,GA,30082,THIRD PARTY (NON-CONSUMER),44.19,10.68,58.2,56.38,43.62,2.35,101557000,93,33.8563,-84.515447,200,5120
489,1,PITTSBURGH,PA,15213,AT-WORK,26.4,52.44,23.17,58.47,41.53,2.82,38365000,93,40.439991,-79.960566,3,526
493,1,FORT MYERS,FL,33908,AT-WORK,43.11,50.09,35.39,54.26,45.74,2.47,53829000,83,26.503969,-81.919048,200,14768
500,1,KANSAS CITY,KS,66160,THIRD PARTY (NON-CONSUMER),34.47,51.93,33.04,50.67,49.33,2.67,50149000,81,39.055726,-94.611824,3,475
508,1,MISSOURI CITY,TX,77489,THIRD PARTY (NON-CONSUMER),35.58,33.27,33.86,54.89,45.11,2.87,60975000,95,29.583368,-95.529417,20,3182
511,1,SAN ANTONIO,TX,78229,THIRD PARTY (NON-CONSUMER),45.98,22.41,45.44,46.41,53.59,1.56,45403000,81,29.51051,-98.572582,3,548
523,1,LIMA,OH,45804,THIRD PARTY (NON-CONSUMER),39.41,60.22,23.25,53.75,46.25,2.25,31434000,86,40.73557,-84.087635,3,499
525,1,SILVER SPRING,MD,20904,AT-WORK,41.67,26.8,67.32,51.53,48.47,3.14,139645000,80,39.076668,-76.969303,5,792
534,1,MCALLEN,TX,78501,EATING & DRINKING,39.91,67.29,39.54,52.26,47.74,2.21,16505000,94,26.198403,-98.230396,3,548
535,1,MEMPHIS,TN,38111,THIRD PARTY (NON-CONSUMER),48.56,32.87,42.8,56.84,43.16,1.82,86958000,95,35.13681,-89.944943,200,6600
540,1,BRADENTON,FL,34209,THIRD PARTY (NON-CONSUMER),70.42,31.8,55.09,63.06,36.94,1.5,55164000,83,27.482539,-82.626218,6,429
542,1,LANCASTER,OH,43130,TRAVEL/TRANSPORTATION/HOSPITALITY,47.46,27.82,41.9,53.27,46.73,2.26,81047000,91,39.74391,-82.58431,30,1690
543,1,HOUSTON,TX,77003,EATING & DRINKING,37.38,10.24,25.59,53.44,46.56,1.86,131760000,91,29.714235,-95.397145,3,548
548,1,TOWSON,MD,21286,THIRD PARTY (NON-CONSUMER),41.5,21.67,58.89,53.84,46.16,2.18,83426000,85,39.401084,-76.593648,8,1604
553,1,FORT WALTON BEACH,FL,32548,TRAVEL/TRANSPORTATION/HOSPITALITY,42.11,38.97,47.89,50.58,49.42,2.42,59392000,78,30.426406,-86.635382,100,7384
557,1,KISSIMMEE,FL,34744,AT-WORK,38.37,46.11,38.78,41.09,58.91,2.46,37827000,98,28.301325,-81.399811,12,1172
569,1,HOUSTON,TX,77008,AT-WORK,42.73,38.31,43.33,50.55,49.45,1.77,78718000,80,29.811404,-95.43217,100,6383
582,1,PHOENIX,AZ,85006,AT-WORK,34.7,78.36,26.39,46.62,53.38,2.49,24886000,100,33.465674,-112.058792,3800,629829
589,1,GIG HARBOR,WA,98335,AT-WORK,41.6,38.74,40.64,54.48,45.52,2.16,53611000,78,47.31067,-122.578953,3,583
594,1,BATAVIA,OH,45103,THIRD PARTY (NON-CONSUMER),41.18,17.55,55.95,47.22,52.78,2.56,115601000,95,39.078119,-84.143497,22,3661
596,1,TINLEY PARK,IL,60477,THIRD PARTY (NON-CONSUMER),34.91,23.1,49.95,51.15,48.85,3.04,105570000,86,41.553769,-87.797102,65,4215
612,1,MARION,IL,62959,AT-WORK,48.77,25.44,43.71,52.81,47.19,2.05,84350000,97,37.744839,-88.984047,600,90388
614,1,OLDSMAR,FL,34677,THIRD PARTY (NON-CONSUMER),33.64,29.18,47.96,52.64,47.36,2.83,75534000,100,28.042107,-82.670433,130,3200
621,1,FORT WAYNE,IN,46845,AT-WORK,35.05,20.72,51.14,50,50,3.03,81782000,88,41.18094,-85.101941,4000,556016
634,1,BRADENTON,FL,34209,EATING & DRINKING,70.42,31.8,55.09,63.06,36.94,1.5,55164000,95,27.48337,-82.62476,750,24000
637,1,WYNNE,AR,72396,AT-WORK,38,49.23,44.8,50.17,49.83,2.64,52706000,88,35.221115,-90.787349,154,20578
638,1,WYNNE,AR,72396,AT-WORK,38,49.23,44.8,50.17,49.83,2.64,52706000,90,35.216739,-90.781299,100,5575
647,1,VACAVILLE,CA,95687,THIRD PARTY (NON-CONSUMER),42.61,0,0,0.2,99.8,0,85337000,90,38.327,-121.970498,3,675
653,1,PITTSBURGH,PA,15232,THIRD PARTY (NON-CONSUMER),36.82,11.39,41.04,54.26,45.74,1.51,75182000,75,40.454508,-79.941468,14,1994
667,1,DOYLESTOWN,PA,18901,AT-WORK,40.39,22.66,43.65,51.78,48.22,2.24,118903000,93,40.305398,-75.146465,3,526
678,1,JAMAICA,NY,11432,AT-WORK,38.67,34.45,48.78,51.32,48.68,3.21,90372000,86,40.717359,-73.80361,2000,294789
680,1,JEFFERSON CITY,MO,65101,AT-WORK,34.27,73.86,22.57,55.47,44.53,2.28,42610000,72,38.565524,-92.182172,18,2483
681,1,LIMA,OH,45804,AT-WORK,42.59,54.43,41.64,48.4,51.6,2.42,47932000,95,40.697354,-84.08818,100,9125
682,1,KISSIMMEE,FL,34744,AT-WORK,37.2,64.39,29.86,52.77,47.23,2.41,41687000,100,28.316463,-81.40574,430,73762
690,1,PHOENIX,AZ,85006,THIRD PARTY (NON-CONSUMER),36.76,37.48,30.23,48.49,51.51,2.04,65976000,100,33.466309,-112.059099,65,7277
691,1,FORT MYERS,FL,33908,ENTERTAINMENT/RECREATION/LEISURE,47.08,31.16,36.47,51.91,48.09,1.91,98158000,94,26.524072,-81.875888,3,633
695,1,ASHVILLE,NC,28801,AT-WORK,44.55,28.58,39.5,56.4,43.6,1.86,68329000,93,35.57711,-82.547751,3,501
704,1,ATHENS,OH,45701,AT-WORK,39.42,10.31,30.39,50.8,49.2,2.26,80285000,81,39.304279,-82.100517,5,445
707,1,MOBILE,AL,36607,GROCERY SHOPPING,34,62.95,26.37,60.89,39.11,2.37,24133000,91,30.697952,-88.13189,10,602
716,1,FT BRAGG,NC,28304,AT-WORK,35.37,36.54,42.93,53.04,46.96,2.5,55642000,94,35.13357,-78.999746,3,501
725,1,SAN LUIS OBISPO,CA,93405,AT-WORK,23.46,38.37,36.3,42.96,57.04,2.57,23567000,96,35.29097,-120.665282,500,112633
731,1,KANSAS CITY,KS,66160,THIRD PARTY (NON-CONSUMER),34.47,51.93,33.04,50.67,49.33,2.67,50149000,91,39.05572,-94.611824,3,475
736,1,TROY,MI,48085,EATING & DRINKING,42.52,21.13,42.26,51.4,48.6,2.57,103653000,86,42.563931,-83.137371,8,1438
743,1,PHOENIX,AZ,85006,EATING & DRINKING,34.7,78.36,26.39,46.62,53.38,2.49,24886000,91,33.46385,-112.065005,3,612
744,1,LAREDO,TX,78041,THIRD PARTY (NON-CONSUMER),33.09,34.84,52.92,52.32,47.68,3.31,45651000,98,27.533168,-99.478074,1500,222451
747,1,CINCINNATI,OH,45219,THIRD PARTY (NON-CONSUMER),40.17,70.39,37.6,51.66,48.34,1.89,18692000,97,39.132055,-84.498875,75,12480
749,1,BETHLEHEM,PA,18017,THIRD PARTY (NON-CONSUMER),62.34,31.17,44.72,61.98,38.02,1.33,29932000,95,40.644637,-75.407893,2000,350909
754,1,SAN ANTONIO,TX,78201,THIRD PARTY (NON-CONSUMER),38.05,59.44,40.56,53.92,46.08,2.52,40728000,94,29.48699,-98.539586,3,548
767,1,WASHINGTON,PA,15301,AT-WORK,38.63,55,26.67,50.26,49.74,2.41,60348000,88,40.185479,-80.284713,63,3862
769,1,LEXINGTON,KY,40502,THIRD PARTY (NON-CONSUMER),32.67,61.25,21.65,48.6,51.4,2,40055000,100,38.022412,-84.473075,200,28619
777,1,SHREVEPORT,LA,71103,THIRD PARTY (NON-CONSUMER),37.21,43.45,36.65,52.47,47.53,2.44,58294000,85,32.4829,-93.778922,30,2234
780,1,FAYETTEVILLE,NC,28304,OTHER SHOPPING & SERVICES,43.22,23.19,36.46,60.33,39.67,1.89,44295000,84,35.04102,-78.922952,15,1979
781,1,FAYETTEVILLE,NC,28304,OTHER SHOPPING & SERVICES,43.22,23.19,36.46,60.33,39.67,1.89,44295000,83,35.037871,-78.9177,5,659
783,1,CHARLESTON,SC,29403,OTHER SHOPPING & SERVICES,29.15,35.95,38.65,53.9,46.1,1.91,44045000,83,32.784689,-79.946263,30,4647
792,1,FORT WORTH,TX,76119,AT-WORK,32.13,78.64,19.74,31.61,68.39,3.35,24655000,93,32.672842,-97.297862,20,3182
798,1,SAN ANTONIO,TX,78229,EATING & DRINKING,31.54,26.47,42.81,52.77,47.23,1.57,40488000,70,29.51038,-98.587715,5,721
803,1,MCALLEN,TX,78501,AT-WORK,38.8,63.64,34.55,55.12,44.88,3.14,29177000,99,26.20465,-98.211489,25,4566
805,4,SHREVEPORT,LA,71103,AT-WORK,34.62,52.34,33.18,54.52,45.48,2.67,29574000,86,32.48109,-93.778777,10,1731
807,4,LAREDO,TX,78041,AT-WORK,33.41,44.17,37.57,54.46,45.54,3.52,39038000,86,27.536406,-99.477067,3,548
820,1,SHAKER HTS,OH,44118,EDUCATIONAL,36.51,4.27,55.69,51.53,48.47,2.89,221859000,86,41.486555,-81.525715,150,12346
822,4,CLEVELAND HTS,OH,44118,AT-WORK,44.54,33.8,40.25,55.81,44.19,2.03,69127000,91,41.522135,-81.554804,10,563
823,4,CLEVELAND HTS,OH,44118,THIRD PARTY (NON-CONSUMER),37.76,38.73,41.62,54.47,45.53,2.61,58615000,78,41.506339,-81.556991,5,657
844,1,HAMBURG,NY,14075,THIRD PARTY (NON-CONSUMER),52.54,49.13,37.72,58.04,41.96,2.08,54289000,88,42.760246,-78.832259,300,19034
